Hand 1 landmarks:
0.484348 0.696966 -0.000001
0.596016 0.598679 -0.032359
0.654622 0.438297 -0.040807
0.670437 0.304069 -0.052766
0.706902 0.206907 -0.059787
0.574285 0.366828 0.001455
0.599448 0.282155 -0.052553
0.584894 0.389696 -0.081201
0.568723 0.481331 -0.088775
0.502933 0.373887 0.001194
0.528052 0.277101 -0.057387
0.522246 0.411902 -0.068860
0.514662 0.507388 -0.060054
0.430187 0.391259 -0.009274
0.461620 0.309198 -0.069656
0.467022 0.437550 -0.057702
0.461370 0.523635 -0.029968
0.352560 0.420567 -0.022036
0.383769 0.338395 -0.053095
0.404492 0.410697 -0.036090
0.405176 0.465424 -0.013073

