Hand 1 landmarks:
0.453954 0.757279 0.000001
0.545083 0.722079 -0.064423
0.594349 0.633932 -0.092652
0.522066 0.569972 -0.112919
0.436892 0.550860 -0.133609
0.579538 0.493156 -0.067130
0.592881 0.367931 -0.112198
0.595454 0.283924 -0.147396
0.591386 0.215688 -0.170202
0.505633 0.480036 -0.064645
0.521813 0.349668 -0.100691
0.524102 0.260657 -0.131441
0.522530 0.190051 -0.150218
0.441427 0.493584 -0.068189
0.446871 0.372527 -0.101032
0.451290 0.297980 -0.123798
0.453841 0.238641 -0.135912
0.378902 0.529333 -0.077775
0.379216 0.441580 -0.106734
0.381525 0.384568 -0.115073
0.383215 0.335072 -0.116708

