Hand 1 landmarks:
0.346578 0.804707 0.000001
0.432872 0.785177 -0.010002
0.512404 0.720832 -0.025045
0.578006 0.690168 -0.046634
0.635966 0.662931 -0.067963
0.437688 0.483722 0.014632
0.472644 0.366933 -0.010477
0.522028 0.307826 -0.037615
0.571903 0.274004 -0.055451
0.414198 0.471341 -0.004494
0.454761 0.338821 -0.024589
0.515973 0.280649 -0.048604
0.574242 0.264880 -0.064999
0.391026 0.476838 -0.028931
0.431914 0.338333 -0.045691
0.492967 0.280455 -0.061017
0.551369 0.261917 -0.070602
0.371747 0.502077 -0.056469
0.408322 0.389749 -0.069722
0.452695 0.329059 -0.075267
0.497256 0.298630 -0.077766

