Hand 1 landmarks:
0.329162 0.841812 0.000000
0.439707 0.780180 0.030729
0.512105 0.701326 0.025236
0.578930 0.655718 0.002595
0.611648 0.599616 -0.020463
0.388859 0.484740 0.017940
0.429425 0.343791 -0.000612
0.457262 0.247197 -0.019964
0.470498 0.166831 -0.037710
0.369056 0.487715 -0.024357
0.518349 0.398069 -0.060178
0.604041 0.472445 -0.079133
0.629227 0.551274 -0.085026
0.379322 0.521735 -0.064305
0.519741 0.424482 -0.091961
0.593091 0.504235 -0.082585
0.606940 0.582502 -0.069986
0.414116 0.572247 -0.103666
0.521628 0.493358 -0.118129
0.572224 0.538246 -0.101492
0.583714 0.597402 -0.085083

