Hand 1 landmarks:
0.477136 0.771874 0.000000
0.562973 0.708825 -0.054305
0.612914 0.581282 -0.083512
0.535646 0.502030 -0.113802
0.432318 0.479961 -0.140094
0.576603 0.369733 -0.037971
0.559228 0.186700 -0.110029
0.578828 0.176381 -0.165281
0.589666 0.251363 -0.187473
0.491282 0.364208 -0.042149
0.468015 0.176714 -0.100026
0.487596 0.186847 -0.138082
0.500068 0.274845 -0.149724
0.415264 0.391592 -0.056395
0.381321 0.220373 -0.100024
0.400167 0.226385 -0.114594
0.415414 0.300077 -0.111391
0.336114 0.441083 -0.076981
0.301392 0.310584 -0.108869
0.316862 0.299712 -0.111621
0.335622 0.346118 -0.102373

