Hand 1 landmarks:
0.401529 0.868388 0.000001
0.496777 0.835881 -0.036302
0.588502 0.766261 -0.057105
0.653436 0.704397 -0.078248
0.667749 0.628782 -0.094590
0.533119 0.557781 -0.023563
0.600956 0.474864 -0.079660
0.633181 0.515823 -0.125282
0.642741 0.575189 -0.145245
0.480662 0.510750 -0.031300
0.530491 0.351755 -0.062623
0.566249 0.260680 -0.090628
0.589999 0.188772 -0.107604
0.421106 0.499592 -0.048014
0.438610 0.349699 -0.078991
0.457132 0.258275 -0.101431
0.475123 0.187165 -0.111872
0.354982 0.523701 -0.068627
0.335955 0.398592 -0.089986
0.325577 0.319681 -0.094042
0.322482 0.252213 -0.092727

