Hand 1 landmarks:
0.329647 0.754891 0.000000
0.447273 0.705851 0.002354
0.526230 0.623848 -0.020406
0.594686 0.576541 -0.054310
0.667679 0.547457 -0.087277
0.425444 0.410495 0.003768
0.555222 0.388910 -0.036272
0.637421 0.385854 -0.064319
0.702589 0.381256 -0.084715
0.402769 0.402551 -0.025739
0.560193 0.439653 -0.077722
0.536855 0.533043 -0.088489
0.491915 0.540449 -0.086762
0.399656 0.432567 -0.058731
0.545538 0.497828 -0.102703
0.516784 0.583350 -0.092518
0.472613 0.579806 -0.078805
0.410218 0.483214 -0.093379
0.517455 0.549122 -0.114826
0.493107 0.613881 -0.103272
0.449066 0.614108 -0.091809

