Hand 1 landmarks:
0.255686 0.626656 0.000001
0.296194 0.465581 0.006835
0.394499 0.396783 -0.001586
0.481584 0.424947 -0.010527
0.530207 0.479674 -0.020532
0.464008 0.368285 -0.049137
0.612732 0.342942 -0.067211
0.698990 0.334285 -0.074698
0.764297 0.333244 -0.075953
0.496877 0.472533 -0.058163
0.644033 0.434169 -0.061288
0.734256 0.416434 -0.062083
0.798795 0.407593 -0.062459
0.506895 0.579917 -0.060838
0.557634 0.531892 -0.054932
0.518550 0.518351 -0.044906
0.470890 0.521306 -0.035717
0.497022 0.668404 -0.063110
0.500059 0.613575 -0.050180
0.468811 0.594277 -0.030505
0.437044 0.599227 -0.012797

