Hand 1 landmarks:
0.486462 0.741998 -0.000001
0.606211 0.672866 -0.037390
0.696908 0.565620 -0.054101
0.729356 0.462262 -0.078879
0.677616 0.385462 -0.096901
0.615322 0.430320 -0.000913
0.640915 0.349812 -0.065919
0.645669 0.442724 -0.099020
0.640514 0.519889 -0.100419
0.543086 0.423693 -0.008548
0.572968 0.351881 -0.084953
0.579970 0.469762 -0.113902
0.578539 0.553491 -0.108946
0.466548 0.425829 -0.026609
0.499052 0.353127 -0.099570
0.512214 0.470282 -0.103166
0.516653 0.555299 -0.076284
0.386575 0.436137 -0.047882
0.391390 0.307844 -0.074170
0.404574 0.234576 -0.068220
0.423281 0.169518 -0.051585

