Hand 1 landmarks:
0.238232 0.653025 -0.000000
0.287917 0.652060 -0.017559
0.338763 0.603089 -0.022579
0.353476 0.547172 -0.029957
0.346704 0.500983 -0.036214
0.351828 0.540303 -0.002241
0.378717 0.490715 -0.025887
0.386563 0.490096 -0.036692
0.382349 0.507674 -0.036205
0.319593 0.517890 -0.004025
0.338762 0.499372 -0.039567
0.317887 0.555791 -0.050871
0.298854 0.598524 -0.046205
0.285483 0.503511 -0.010211
0.306644 0.481231 -0.046819
0.294444 0.536886 -0.050173
0.283107 0.579985 -0.038468
0.250423 0.493208 -0.017368
0.278356 0.431759 -0.034689
0.297790 0.395457 -0.035295
0.318998 0.365068 -0.029553

