Hand 1 landmarks:
0.539778 0.820002 0.000001
0.648224 0.739702 -0.057413
0.682230 0.594997 -0.070089
0.648692 0.471433 -0.084302
0.631284 0.373791 -0.094619
0.635796 0.504378 -0.039051
0.624381 0.344182 -0.087806
0.604847 0.245630 -0.109814
0.584286 0.158778 -0.119953
0.546532 0.514660 -0.038879
0.567948 0.427431 -0.123675
0.585750 0.390012 -0.154512
0.600295 0.361973 -0.155214
0.455399 0.540431 -0.046050
0.478480 0.516511 -0.157801
0.517573 0.624184 -0.160612
0.548217 0.710811 -0.124920
0.369766 0.578922 -0.057010
0.401398 0.563232 -0.142960
0.449030 0.634904 -0.141909
0.485094 0.699060 -0.114454

