Hand 1 landmarks:
0.338023 0.884526 0.000000
0.438336 0.847239 -0.056099
0.530091 0.752323 -0.076459
0.608764 0.693579 -0.090217
0.674110 0.670323 -0.097726
0.458659 0.544969 -0.043618
0.479466 0.394704 -0.082366
0.487464 0.297521 -0.099364
0.488660 0.204964 -0.111496
0.394765 0.546870 -0.040477
0.430968 0.493985 -0.085340
0.423803 0.633253 -0.077310
0.412738 0.652517 -0.061545
0.331796 0.562871 -0.047312
0.367130 0.532413 -0.106852
0.368121 0.660127 -0.083870
0.356358 0.656271 -0.055613
0.267876 0.591392 -0.059436
0.302389 0.564696 -0.098304
0.319674 0.651619 -0.078884
0.302280 0.664094 -0.057230

