Hand 1 landmarks:
0.473406 0.684556 -0.000001
0.600340 0.598012 -0.057140
0.624678 0.410084 -0.078261
0.522248 0.290155 -0.096118
0.430241 0.210649 -0.103928
0.626339 0.294053 -0.017911
0.672627 0.184668 -0.097424
0.659852 0.301505 -0.144933
0.637007 0.407205 -0.163607
0.531115 0.275676 -0.021471
0.579882 0.111131 -0.100296
0.581286 0.236678 -0.124207
0.572729 0.344451 -0.117333
0.428774 0.286371 -0.039126
0.461626 0.134648 -0.124681
0.492294 0.266824 -0.125902
0.497054 0.358252 -0.102920
0.320100 0.329986 -0.060324
0.363864 0.282301 -0.129258
0.407848 0.387532 -0.129865
0.419748 0.448476 -0.114253

