Hand 1 landmarks:
0.411699 0.838930 0.000000
0.409167 0.778678 -0.011613
0.430952 0.733257 -0.021296
0.454347 0.703817 -0.029822
0.468045 0.673153 -0.038721
0.495160 0.750475 -0.020783
0.542138 0.728565 -0.034145
0.573038 0.718366 -0.043871
0.597237 0.712291 -0.049861
0.505758 0.782646 -0.024068
0.555728 0.757641 -0.034972
0.589985 0.743214 -0.043690
0.617621 0.734130 -0.049537
0.508615 0.817426 -0.028168
0.557650 0.792862 -0.038979
0.589273 0.778906 -0.046571
0.614498 0.769755 -0.051095
0.505643 0.853003 -0.032940
0.544397 0.835699 -0.042499
0.569402 0.823039 -0.046304
0.591164 0.813127 -0.047745

