Hand 1 landmarks:
0.555647 0.847044 -0.000000
0.659175 0.736036 -0.044379
0.690287 0.561849 -0.056353
0.625281 0.433871 -0.070362
0.548817 0.350002 -0.076550
0.662656 0.450741 -0.001727
0.687281 0.304923 -0.078761
0.687469 0.355471 -0.119589
0.679502 0.451078 -0.124335
0.573719 0.442029 -0.005039
0.590786 0.286549 -0.081968
0.603536 0.358564 -0.106000
0.613778 0.457675 -0.091726
0.483722 0.462734 -0.021492
0.523647 0.476065 -0.110492
0.555609 0.617586 -0.116643
0.570885 0.718688 -0.083650
0.394545 0.500620 -0.040834
0.438165 0.494906 -0.086465
0.474796 0.575458 -0.071383
0.491723 0.635777 -0.039650

