Hand 1 landmarks:
0.279977 0.780402 0.000001
0.298670 0.723027 -0.007904
0.346950 0.691150 -0.024559
0.392850 0.698236 -0.039658
0.415188 0.716162 -0.054681
0.340408 0.671750 -0.057186
0.396991 0.645090 -0.080129
0.430512 0.631223 -0.094003
0.458247 0.618693 -0.103295
0.338415 0.711361 -0.064845
0.408521 0.682872 -0.087188
0.446521 0.668304 -0.094816
0.478703 0.659031 -0.101179
0.340779 0.759285 -0.069262
0.423396 0.741490 -0.085255
0.404598 0.739896 -0.073551
0.377361 0.744921 -0.063400
0.346342 0.806678 -0.074545
0.407719 0.787799 -0.083423
0.394515 0.778947 -0.072209
0.372143 0.780379 -0.062276

