Hand 1 landmarks:
0.405995 0.789236 0.000000
0.480239 0.727394 -0.022439
0.546251 0.613415 -0.035418
0.593333 0.522885 -0.051991
0.591561 0.437744 -0.066897
0.486996 0.459209 -0.005940
0.522552 0.328683 -0.049546
0.572656 0.331592 -0.085570
0.604014 0.377829 -0.102980
0.447277 0.448521 -0.015934
0.484174 0.302401 -0.058403
0.543951 0.305564 -0.091071
0.581184 0.361128 -0.106150
0.401827 0.459094 -0.032123
0.433724 0.315901 -0.069200
0.497675 0.308966 -0.089345
0.546127 0.346075 -0.095998
0.352036 0.489469 -0.050971
0.382676 0.380293 -0.082398
0.435094 0.341467 -0.097351
0.484306 0.339475 -0.102629

