Hand 1 landmarks:
0.730735 0.444106 -0.000000
0.654070 0.487132 -0.088562
0.547563 0.544937 -0.097728
0.461713 0.581728 -0.088784
0.390158 0.611092 -0.073623
0.439349 0.467860 -0.036664
0.323347 0.562673 -0.047496
0.262890 0.626033 -0.057209
0.212457 0.682586 -0.062769
0.462100 0.516531 0.006485
0.407284 0.648948 -0.022109
0.412425 0.749415 -0.051212
0.426920 0.826383 -0.060372
0.499135 0.559564 0.042025
0.482661 0.656643 -0.001796
0.543161 0.639610 -0.033449
0.578382 0.610102 -0.037301
0.535408 0.590153 0.072128
0.531656 0.662028 0.032608
0.565999 0.646303 0.010911
0.584976 0.612236 0.009181

