Hand 1 landmarks:
0.714777 0.430211 -0.000001
0.647061 0.485429 -0.099652
0.551836 0.595647 -0.114907
0.497279 0.721701 -0.105805
0.455951 0.821736 -0.084057
0.417006 0.457351 -0.045243
0.343549 0.615925 -0.069101
0.315965 0.725558 -0.094449
0.294484 0.804953 -0.109288
0.428638 0.491361 0.005686
0.400368 0.634467 -0.020932
0.449917 0.618490 -0.037397
0.478260 0.568681 -0.040070
0.446422 0.534376 0.045030
0.424344 0.658169 0.013404
0.468793 0.633546 -0.006195
0.482206 0.594903 -0.008316
0.464685 0.562860 0.076196
0.445566 0.653676 0.051693
0.479981 0.644655 0.040373
0.502695 0.623618 0.041354

