Hand 1 landmarks:
0.449183 0.789364 0.000001
0.549673 0.735366 -0.089560
0.588582 0.628245 -0.121920
0.527881 0.535542 -0.149949
0.452691 0.459107 -0.172766
0.586531 0.455687 -0.045648
0.554674 0.330453 -0.096554
0.526127 0.248424 -0.135400
0.492757 0.166598 -0.164176
0.499415 0.443937 -0.040951
0.524271 0.294669 -0.100061
0.533329 0.211067 -0.136891
0.536399 0.134385 -0.154557
0.413877 0.472437 -0.047851
0.399884 0.362083 -0.147504
0.409170 0.463530 -0.157561
0.420342 0.539563 -0.134973
0.339949 0.531346 -0.061680
0.326808 0.466998 -0.151849
0.359703 0.531580 -0.155230
0.389658 0.586010 -0.135794

