Hand 1 landmarks:
0.494962 0.790327 -0.000001
0.614780 0.700487 -0.044909
0.695119 0.542701 -0.063473
0.633407 0.420531 -0.080826
0.534328 0.373916 -0.084632
0.650805 0.412135 -0.025126
0.678137 0.284595 -0.087995
0.667108 0.426271 -0.108501
0.657797 0.467744 -0.114739
0.552943 0.403148 -0.031802
0.578758 0.300276 -0.097540
0.577723 0.462845 -0.098889
0.561714 0.487550 -0.084455
0.461362 0.416663 -0.048864
0.471607 0.335920 -0.120902
0.493302 0.490572 -0.089811
0.487144 0.521156 -0.051169
0.362709 0.443109 -0.068622
0.381720 0.386000 -0.105187
0.414142 0.487049 -0.071070
0.416033 0.516986 -0.035799

