Hand 1 landmarks:
0.479518 0.692598 -0.000001
0.591464 0.579373 -0.041697
0.630107 0.379656 -0.048814
0.584461 0.231645 -0.059586
0.536434 0.126660 -0.062897
0.583612 0.288903 -0.002184
0.622492 0.150461 -0.081732
0.618171 0.204803 -0.123920
0.605349 0.303801 -0.132778
0.488079 0.298724 -0.004080
0.509524 0.240642 -0.096956
0.527891 0.389168 -0.116482
0.550479 0.511190 -0.102525
0.397808 0.326301 -0.020317
0.437466 0.313844 -0.116081
0.463940 0.463662 -0.108309
0.487502 0.566090 -0.071685
0.310956 0.368969 -0.039659
0.359505 0.339038 -0.099674
0.396957 0.441133 -0.088907
0.422150 0.510034 -0.060742

