Hand 1 landmarks:
0.454616 0.842534 0.000002
0.551037 0.787415 -0.099356
0.575385 0.687284 -0.144952
0.506931 0.602933 -0.185825
0.404455 0.542776 -0.222481
0.552560 0.493720 -0.077070
0.565692 0.348794 -0.147997
0.563304 0.252601 -0.193748
0.557020 0.171740 -0.217214
0.450215 0.499514 -0.074537
0.459394 0.340726 -0.146278
0.461773 0.237400 -0.186657
0.462061 0.150107 -0.199278
0.361675 0.548240 -0.083212
0.339768 0.481171 -0.191621
0.381540 0.563985 -0.204414
0.415106 0.627242 -0.175487
0.286921 0.623909 -0.098848
0.263317 0.569924 -0.181618
0.312575 0.619931 -0.171837
0.357117 0.667402 -0.138310

