Hand 1 landmarks:
0.470345 0.868021 0.000002
0.569220 0.812366 -0.095922
0.591147 0.711307 -0.138408
0.501980 0.646135 -0.174893
0.404260 0.602021 -0.206549
0.564000 0.510375 -0.071387
0.616175 0.367839 -0.133855
0.646997 0.271985 -0.175138
0.665836 0.192318 -0.197035
0.457539 0.518305 -0.065151
0.405030 0.367676 -0.138659
0.368846 0.266498 -0.185452
0.336859 0.181162 -0.202297
0.376469 0.570867 -0.068224
0.353227 0.537901 -0.178101
0.400352 0.625572 -0.199429
0.429930 0.685208 -0.175322
0.315769 0.643799 -0.076820
0.293828 0.603374 -0.159845
0.341213 0.663368 -0.153823
0.383635 0.711195 -0.122547

