Hand 1 landmarks:
0.470346 0.842146 0.000002
0.544938 0.795999 -0.069533
0.571545 0.694009 -0.100082
0.493482 0.623383 -0.121483
0.402365 0.568946 -0.145774
0.565881 0.480202 -0.066636
0.613047 0.335416 -0.112740
0.644940 0.244092 -0.148192
0.664861 0.162283 -0.171510
0.471419 0.468576 -0.072520
0.474721 0.294692 -0.108172
0.476434 0.185173 -0.141299
0.475211 0.089659 -0.158092
0.392688 0.510231 -0.085140
0.354746 0.387156 -0.150096
0.336506 0.286358 -0.204706
0.318965 0.194919 -0.236458
0.330702 0.591347 -0.100889
0.354654 0.581511 -0.183027
0.399683 0.642210 -0.207167
0.431403 0.693153 -0.211534

