Hand 1 landmarks:
0.641077 0.746823 -0.000000
0.616552 0.669589 -0.082266
0.539669 0.609250 -0.106857
0.454923 0.635292 -0.120578
0.382648 0.658669 -0.124881
0.434567 0.467761 -0.029918
0.355517 0.364170 -0.089779
0.306063 0.377962 -0.122547
0.287180 0.424550 -0.134176
0.421768 0.555291 -0.011619
0.344252 0.587709 -0.077511
0.400430 0.628208 -0.095773
0.439449 0.618958 -0.087820
0.429563 0.644850 -0.008488
0.396630 0.693039 -0.089009
0.465466 0.706199 -0.095707
0.488133 0.670829 -0.074589
0.451561 0.721664 -0.011465
0.422335 0.752757 -0.072850
0.478674 0.757121 -0.073662
0.505772 0.731084 -0.054872

