Hand 1 landmarks:
0.592052 0.747200 -0.000001
0.684541 0.645207 -0.051068
0.739742 0.501862 -0.078377
0.790401 0.384038 -0.107204
0.857033 0.319048 -0.128555
0.601160 0.393543 -0.038919
0.592285 0.344838 -0.094050
0.606411 0.460376 -0.119963
0.618851 0.528898 -0.126888
0.527231 0.431177 -0.036833
0.523633 0.387817 -0.102087
0.560142 0.516448 -0.118110
0.582385 0.584508 -0.114592
0.464907 0.478830 -0.043808
0.448739 0.422767 -0.108158
0.501635 0.532044 -0.109156
0.539037 0.603618 -0.091536
0.415072 0.531285 -0.054997
0.343808 0.456199 -0.085797
0.299954 0.415047 -0.088408
0.260658 0.360209 -0.083126

