Hand 1 landmarks:
0.218123 0.715220 -0.000000
0.245918 0.686042 -0.029012
0.255022 0.641565 -0.047287
0.230161 0.618735 -0.063062
0.200885 0.606359 -0.078394
0.221713 0.554140 -0.040476
0.192416 0.493782 -0.066274
0.168799 0.461979 -0.082754
0.149704 0.437827 -0.093022
0.186860 0.561799 -0.037021
0.174500 0.595287 -0.072564
0.190246 0.646742 -0.081167
0.208365 0.676182 -0.080055
0.160907 0.585084 -0.035748
0.153752 0.623581 -0.065684
0.172749 0.665269 -0.059585
0.190948 0.687549 -0.049158
0.141094 0.614506 -0.037433
0.135575 0.646548 -0.058322
0.153884 0.680779 -0.053181
0.172095 0.696921 -0.043391

