Hand 1 landmarks:
0.232670 0.873832 -0.000000
0.261319 0.863431 -0.025128
0.274821 0.843220 -0.041988
0.253086 0.838831 -0.057496
0.225332 0.835935 -0.070022
0.250541 0.755302 -0.034836
0.226366 0.695780 -0.062086
0.220026 0.708958 -0.075432
0.224777 0.734084 -0.080039
0.219493 0.757046 -0.031561
0.207632 0.796971 -0.057462
0.220094 0.831268 -0.062438
0.232972 0.835348 -0.061611
0.195495 0.776349 -0.031674
0.191959 0.827328 -0.050963
0.207456 0.846303 -0.045841
0.218926 0.840510 -0.039468
0.175697 0.798572 -0.034702
0.175185 0.838184 -0.046130
0.190544 0.855952 -0.040787
0.202853 0.852756 -0.032802

