Hand 1 landmarks:
0.316380 0.363086 0.000000
0.370830 0.349975 0.002473
0.405840 0.303378 0.006267
0.436309 0.269636 0.004012
0.463301 0.248694 0.001809
0.400272 0.257131 0.028658
0.433708 0.233715 0.019412
0.461648 0.233963 0.007277
0.485869 0.234944 -0.001280
0.390374 0.238437 0.018564
0.430315 0.216276 0.005761
0.462409 0.216879 -0.008436
0.492719 0.224517 -0.016974
0.375607 0.219586 0.004753
0.420454 0.193370 -0.012904
0.454858 0.199129 -0.027295
0.483802 0.214329 -0.033856
0.356591 0.201697 -0.009400
0.401297 0.181333 -0.024789
0.434035 0.187004 -0.033584
0.464030 0.201466 -0.037889

