Hand 1 landmarks:
0.149299 0.883124 -0.000001
0.135318 0.860013 -0.040982
0.128463 0.855051 -0.068674
0.144084 0.867482 -0.089728
0.167909 0.878537 -0.110957
0.071769 0.911711 -0.068798
0.125452 0.910709 -0.100498
0.166090 0.906020 -0.122082
0.195774 0.900066 -0.134111
0.087276 0.944035 -0.060610
0.153078 0.935537 -0.087343
0.193023 0.922106 -0.099378
0.220320 0.906483 -0.105630
0.111203 0.962233 -0.053562
0.172518 0.950366 -0.076209
0.203533 0.931902 -0.078752
0.225293 0.913885 -0.077374
0.137011 0.968573 -0.050058
0.181589 0.957404 -0.065825
0.204907 0.938190 -0.063839
0.220961 0.920776 -0.058786

