Hand 1 landmarks:
0.101669 0.692998 0.000000
0.112337 0.624272 -0.005604
0.109898 0.561362 -0.015835
0.102210 0.513169 -0.029362
0.079806 0.495328 -0.041798
0.040749 0.525380 -0.001963
0.043633 0.465374 -0.022490
0.053213 0.420872 -0.034070
0.060608 0.386300 -0.040739
0.021152 0.548186 -0.011967
0.047168 0.485152 -0.039439
0.075351 0.530459 -0.042261
0.076325 0.556836 -0.036749
0.013445 0.573096 -0.024580
0.056965 0.530896 -0.053141
0.077316 0.577589 -0.046114
0.067313 0.599100 -0.033617
0.013924 0.602906 -0.038039
0.054590 0.568995 -0.054740
0.068353 0.598639 -0.048150
0.055243 0.618709 -0.039086

