Hand 1 landmarks:
0.331305 0.822802 0.000000
0.393256 0.776273 -0.003284
0.421986 0.727298 -0.017420
0.443639 0.690462 -0.035695
0.450008 0.667395 -0.052536
0.363634 0.627935 -0.019859
0.384012 0.566152 -0.045208
0.400636 0.520103 -0.059218
0.413110 0.482602 -0.068472
0.341000 0.637355 -0.035857
0.426105 0.625842 -0.071314
0.434180 0.686666 -0.072936
0.421538 0.720060 -0.065283
0.331802 0.664601 -0.053165
0.416141 0.680623 -0.085475
0.417343 0.730526 -0.073005
0.401197 0.752448 -0.055899
0.332711 0.702367 -0.071574
0.397775 0.708599 -0.087415
0.403721 0.740453 -0.074912
0.389848 0.755883 -0.061346

