Hand 1 landmarks:
0.305151 0.818727 0.000001
0.266856 0.755479 -0.007798
0.250773 0.666872 -0.033668
0.270409 0.584961 -0.058282
0.298592 0.531133 -0.082648
0.216570 0.665173 -0.081113
0.259629 0.539210 -0.114899
0.303554 0.485606 -0.126158
0.339390 0.461993 -0.128745
0.250311 0.700994 -0.093325
0.295463 0.550609 -0.127312
0.336598 0.488754 -0.128374
0.367561 0.459898 -0.124406
0.297489 0.723677 -0.102692
0.337238 0.575800 -0.123298
0.369146 0.507015 -0.116373
0.392589 0.475129 -0.108666
0.347794 0.733040 -0.112201
0.373238 0.616976 -0.122868
0.390081 0.553093 -0.117534
0.405173 0.511616 -0.111045

