Hand 1 landmarks:
0.644474 0.921713 -0.000000
0.655687 0.866961 0.000886
0.690093 0.815655 -0.007605
0.710057 0.778000 -0.019012
0.725531 0.745238 -0.032288
0.764484 0.841464 -0.018061
0.805947 0.787422 -0.035937
0.819898 0.746614 -0.049322
0.828423 0.709714 -0.060337
0.761951 0.859885 -0.035945
0.791217 0.780038 -0.068419
0.767949 0.727862 -0.081285
0.736479 0.697315 -0.084247
0.745789 0.880649 -0.054451
0.794881 0.826343 -0.078312
0.812821 0.788494 -0.083876
0.821798 0.764330 -0.085279
0.720263 0.897965 -0.072602
0.755271 0.868654 -0.091237
0.780370 0.845088 -0.095396
0.801964 0.826614 -0.096962

