Hand 1 landmarks:
0.187614 0.650912 0.000001
0.225877 0.614755 -0.024160
0.296760 0.606530 -0.053892
0.352184 0.629034 -0.077079
0.368997 0.655485 -0.099585
0.266669 0.590966 -0.101333
0.322606 0.578398 -0.137248
0.361305 0.573043 -0.159449
0.392771 0.569948 -0.175091
0.259085 0.618541 -0.104964
0.329271 0.605414 -0.143516
0.374814 0.593159 -0.159341
0.406770 0.586592 -0.172486
0.256416 0.650555 -0.104305
0.352286 0.651951 -0.127043
0.353335 0.644790 -0.116866
0.333926 0.642659 -0.109614
0.259966 0.681448 -0.105780
0.335450 0.676366 -0.117490
0.328421 0.665684 -0.107347
0.305287 0.664174 -0.099832

Hand 2 landmarks:
0.643356 0.608684 0.000001
0.631721 0.570232 0.002217
0.573006 0.539024 -0.013772
0.503270 0.544766 -0.029774
0.458980 0.554061 -0.047239
0.588294 0.507381 -0.060035
0.506459 0.478646 -0.087941
0.462855 0.458937 -0.104626
0.425158 0.443275 -0.116048
0.581239 0.535813 -0.075451
0.488162 0.499122 -0.105005
0.431709 0.478673 -0.122960
0.392865 0.463803 -0.137178
0.569404 0.566324 -0.084745
0.473677 0.542467 -0.104087
0.488339 0.559174 -0.089830
0.512622 0.567237 -0.077018
0.558668 0.595067 -0.093118
0.488260 0.574113 -0.104221
0.505023 0.583172 -0.088132
0.529280 0.588735 -0.073592

